公司代號,公司名稱,"流動資產","非流動資產","資產總額","流動負債","非流動負債","負債總額","股本","資本公積","保留盈餘","其他權益","庫藏股票","歸屬於母公司業主之權益合計","共同控制下前手權益","合併前非屬共同控制股權","非控制權益","權益總額","預收股款（權益項下）之約當發行股數（單位：股）","母公司暨子公司所持有之母公司庫藏股股數（單位：股）",每股參考淨值,
"4994","傳奇",1449563.00,94683.00,1544246.00,207847.00,75837.00,283684.00,470640.00,406105.00,394055.00,-10238.00,--,1260562.00,--,--,--,1260562.00,0.00,0.00,26.78,
"4999","鑫禾",2129229.00,292450.00,2421679.00,586207.00,110489.00,696696.00,611516.00,129632.00,1009666.00,-25831.00,--,1724983.00,--,--,0.00,1724983.00,0.00,0.00,28.21,
"5007","三星科技",3109792.00,3253811.00,6363603.00,1463041.00,531134.00,1994175.00,2199569.00,477683.00,1540322.00,2479.00,0.00,4220053.00,--,--,149375.00,4369428.00,0.00,0.00,19.19,
"5203","訊連",4577199.00,1828319.00,6405518.00,1116990.00,329815.00,1446805.00,943507.00,1812873.00,2264968.00,-62635.00,--,4958713.00,--,--,--,4958713.00,0.00,0.00,52.56,
"5215","F-科嘉",1484507.00,654828.00,2139335.00,312711.00,63181.00,375892.00,472500.00,801497.00,500857.00,-11411.00,0.00,1763443.00,--,--,0.00,1763443.00,0.00,0.00,37.32,
"5225","F-東科",2450891.00,488251.00,2939142.00,1101801.00,8341.00,1110142.00,607500.00,769504.00,389158.00,62838.00,0.00,1829000.00,--,--,0.00,1829000.00,0.00,0.00,30.11,
"5234","達興",2273724.00,784155.00,3057879.00,1083062.00,154943.00,1238005.00,889315.00,219677.00,711720.00,-838.00,--,1819874.00,--,--,--,1819874.00,0.00,0.00,20.46,
"5259","清惠",707665.00,1624843.00,2332508.00,783582.00,520895.00,1304477.00,647471.00,292118.00,89233.00,-791.00,--,--,--,--,--,1028031.00,0.00,0.00,15.88,
"5264","F-鎧勝",16875752.00,18836743.00,35712495.00,11493126.00,3691786.00,15184912.00,3397070.00,11328062.00,5203383.00,599068.00,--,20527583.00,--,--,--,20527583.00,0.00,0.00,60.43,
"5269","祥碩科技",1180259.00,218011.00,1398270.00,233652.00,1058.00,234710.00,563879.00,346143.00,253538.00,--,--,1163560.00,--,--,--,1163560.00,0.00,0.00,20.63,
"5305","敦南科技",5754138.00,9757826.00,15511964.00,3323462.00,4092072.00,7415534.00,4473975.00,520469.00,1925978.00,347161.00,-58619.00,7208964.00,--,--,887466.00,8096430.00,0.00,3000000.00,16.22,
"5388","中磊電子",8725515.00,3842996.00,12568511.00,7008635.00,1457919.00,8466554.00,1990525.00,551868.00,1508656.00,50908.00,--,4101957.00,--,--,--,4101957.00,1179054.00,0.00,20.61,
"5434","崇越科技",6447623.00,2720355.00,9167978.00,3870298.00,260778.00,4131076.00,1497044.00,1396036.00,2098598.00,23957.00,0.00,5015635.00,--,--,21267.00,5036902.00,0.00,0.00,33.50,
"5469","瀚宇博德",33880902.00,20635676.00,54516578.00,24804485.00,12443859.00,37248344.00,4579362.00,2128701.00,4386557.00,-295633.00,-38072.00,10760915.00,--,--,6507319.00,17268234.00,0.00,2500000.00,23.63,
"5471","松翰科技",3165089.00,870568.00,4035657.00,584917.00,83812.00,668729.00,1678770.00,62661.00,1634263.00,-8766.00,--,3366928.00,--,--,--,3366928.00,0.00,0.00,20.06,
"5484","慧友電子",1548078.00,356399.00,1904477.00,583013.00,7876.00,590889.00,1185079.00,8499.00,162062.00,1322.00,-36083.00,1320879.00,--,--,-7291.00,1313588.00,0.00,3000000.00,11.44,
"5515","建國工程",8450124.00,1837012.00,10287136.00,2142503.00,1954865.00,4097368.00,3601191.00,240758.00,2264284.00,126230.00,-68876.00,6163587.00,--,--,26181.00,6189768.00,0.00,5000000.00,17.36,
"5519","隆大營建",4400375.00,181405.00,4581780.00,2626216.00,44198.00,2670414.00,1200000.00,0.00,711366.00,0.00,0.00,1911366.00,--,--,0.00,1911366.00,0.00,0.00,15.93,
"5521","工信",7535055.00,1352074.00,8887129.00,3946647.00,643039.00,4589686.00,3475274.00,310362.00,440796.00,33383.00,--,4259815.00,--,--,37628.00,4297443.00,0.00,0.00,12.26,
"5522","遠雄建設",61465359.00,11535499.00,73000858.00,35974112.00,6623604.00,42597716.00,7714332.00,6288469.00,15672447.00,125909.00,--,29801157.00,--,--,601985.00,30403142.00,0.00,0.00,38.63,
"5525","順天建設",6320750.00,2211222.00,8531972.00,4622713.00,636611.00,5259324.00,2338847.00,130908.00,830709.00,0.00,-28770.00,3271694.00,--,--,954.00,3272648.00,0.00,7951444.00,14.48,
"5531","鄉林建設",22484289.00,930524.00,23414813.00,12176158.00,3277504.00,15453662.00,5609200.00,1868.00,1738668.00,-24216.00,0.00,7325520.00,--,--,635631.00,7961151.00,0.00,0.00,13.06,
"5533","皇鼎建設",6148044.00,3635921.00,9783965.00,2602242.00,1944596.00,4546838.00,2269828.00,10368.00,2958760.00,-1829.00,--,5237127.00,--,--,--,5237127.00,0.00,0.00,23.07,
"5534","長虹",18995175.00,796382.00,19791557.00,6773345.00,821013.00,7594358.00,2487999.00,1077628.00,8591389.00,0.00,0.00,12157016.00,--,--,40183.00,12197199.00,0.00,0.00,48.86,
"5607","遠雄港",744764.00,5522871.00,6267635.00,633610.00,2359241.00,2992851.00,1699791.00,492000.00,317373.00,243714.00,0.00,2752878.00,--,--,521906.00,3274784.00,0.00,0.00,16.20,
"5608","四維航業",2065835.00,27439836.00,29505671.00,3615324.00,17257481.00,20872805.00,4033500.00,1464265.00,3936034.00,-800933.00,0.00,8632866.00,--,--,0.00,8632866.00,0.00,0.00,21.40,
